# RVPA outputs at  Mon May 27 13:36:54 2019  &  /home/momoko/Dropbox/linux/git/future-rvpa/sample/simple
# VPA results

# catch at age
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,170.419,210.742,203.628,70.429,419.877,317.19,107.683,139.77,465.665,749.5338437,375.458,866.8472727,557.71,556.2119469,672.123,488.678,320.332,334.607,398.2902585,846.819,248.9275008,274.1332685,386.9194286,257.3552091,182.986205,267.1405661,415.0841955,140.6123792,191.0551795,214.3168257
1,57.474,55.992,68.079,84.286,134.765,200.461,194.17,144.113,209.935,243.91311,287.066,232.7645455,506.707,347.9940709,402.502,371.899,321.841,264.209,190.1574889,187.22,199.5256369,282.1487327,274.459224,293.46284,223.0570923,179.1409801,150.5428469,111.3820655,107.6330266,109.0459367
2,6.648,15.736,10.407,15.72,19.918,18.041,34.594,50.227,31.838,31.30781085,50.577,30.32181818,35.302,47.45791193,53.036,56.198,44.058,21.008,71.1374918,44.607,46.89724675,43.1762018,39.59256746,28.51794534,33.62183043,54.15209218,28.7149098,20.40916388,24.31586811,21.79941691
3,1.488,4.639,2.535,4.55,4.383,4.961,5.766,3.574,4.064,10.14963102,32.441,14.62581818,5.088,3.281691519,4.728,4.596,7.785,5.382,11.42908183,12.792,24.5104461,6.279006508,5.309499854,4.691253182,7.961404136,5.436814108,4.45285112,5.413659441,5.389053934,4.012808977

# maturity at age
,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
