year,label,fishery,age_0,age_1,age_2,age_3,value
1991,caa,NA,199.8742756,129.4617805,72.37195259,26.55116556,NA
1992,caa,NA,216.5964674,121.4152502,71.29575291,32.79557473,NA
1993,caa,NA,267.690569,162.962634,82.08322417,38.99656224,NA
1994,caa,NA,218.6983899,158.6663332,85.4627954,33.76093208,NA
1995,caa,NA,165.5603227,154.1356722,98.07561453,40.75214202,NA
1996,caa,NA,249.248457,95.75337082,76.98423059,36.6271926,NA
1997,caa,NA,187.9006932,144.1551909,47.82474735,28.75043154,NA
1998,caa,NA,130.2869034,91.39455631,61.08600229,15.40571831,NA
1999,caa,NA,79.9196031,62.34938101,39.04364033,20.81536439,NA
2000,caa,NA,77.11111363,36.7481019,26.22547914,13.74910913,NA
1991,maa,NA,0,0.3,0.8,1,NA
1992,maa,NA,0,0.3,0.8,1,NA
1993,maa,NA,0,0.3,0.8,1,NA
1994,maa,NA,0,0.3,0.8,1,NA
1995,maa,NA,0,0.3,0.8,1,NA
1996,maa,NA,0,0.3,0.8,1,NA
1997,maa,NA,0,0.3,0.8,1,NA
1998,maa,NA,0,0.3,0.8,1,NA
1999,maa,NA,0,0.3,0.8,1,NA
2000,maa,NA,0,0.3,0.8,1,NA
1991,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1992,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1993,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1994,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1995,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1996,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1997,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1998,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1999,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2000,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1991,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1992,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1993,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1994,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1995,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1996,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1997,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1998,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1999,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2000,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
1991,maa.tune,NA,0,0.3,0.8,1,NA
1992,maa.tune,NA,0,0.3,0.8,1,NA
1993,maa.tune,NA,0,0.3,0.8,1,NA
1994,maa.tune,NA,0,0.3,0.8,1,NA
1995,maa.tune,NA,0,0.3,0.8,1,NA
1996,maa.tune,NA,0,0.3,0.8,1,NA
1997,maa.tune,NA,0,0.3,0.8,1,NA
1998,maa.tune,NA,0,0.3,0.8,1,NA
1999,maa.tune,NA,0,0.3,0.8,1,NA
2000,maa.tune,NA,0,0.3,0.8,1,NA
1991,abund,1,NA,NA,NA,NA,1719.079998
