year,label,fishery,age_0,age_1,age_2,age_3,value
2001,caa,NA,199.8742756,129.4617805,72.37195259,26.55116556,NA
2002,caa,NA,216.5964674,121.4152502,71.29575291,32.79557473,NA
2003,caa,NA,267.690569,162.962634,82.08322417,38.99656224,NA
2004,caa,NA,218.6983899,158.6663332,85.4627954,33.76093208,NA
2005,caa,NA,165.5603227,154.1356722,98.07561453,40.75214202,NA
2006,caa,NA,249.248457,95.75337082,76.98423059,36.6271926,NA
2007,caa,NA,187.9006932,144.1551909,47.82474735,28.75043154,NA
2008,caa,NA,130.2869034,91.39455631,61.08600229,15.40571831,NA
2009,caa,NA,79.9196031,62.34938101,39.04364033,20.81536439,NA
2010,caa,NA,0,0,0,0,NA
2001,maa,NA,0,0.3,0.8,1,NA
2002,maa,NA,0,0.3,0.8,1,NA
2003,maa,NA,0,0.3,0.8,1,NA
2004,maa,NA,0,0.3,0.8,1,NA
2005,maa,NA,0,0.3,0.8,1,NA
2006,maa,NA,0,0.3,0.8,1,NA
2007,maa,NA,0,0.3,0.8,1,NA
2008,maa,NA,0,0.3,0.8,1,NA
2009,maa,NA,0,0.3,0.8,1,NA
2010,maa,NA,0,0.3,0.8,1,NA
2001,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2002,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2003,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2004,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2005,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2006,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2007,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2008,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2009,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2010,waa,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2001,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2002,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2003,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2004,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2005,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2006,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2007,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2008,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2009,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2010,waa.catch,NA,0.035832542,0.166984708,0.341247502,0.508367311,NA
2001,maa.tune,NA,0,0.3,0.8,1,NA
2002,maa.tune,NA,0,0.3,0.8,1,NA
2003,maa.tune,NA,0,0.3,0.8,1,NA
2004,maa.tune,NA,0,0.3,0.8,1,NA
2005,maa.tune,NA,0,0.3,0.8,1,NA
2006,maa.tune,NA,0,0.3,0.8,1,NA
2007,maa.tune,NA,0,0.3,0.8,1,NA
2008,maa.tune,NA,0,0.3,0.8,1,NA
2009,maa.tune,NA,0,0.3,0.8,1,NA
2010,maa.tune,NA,0,0.3,0.8,1,NA
2001,abund,1,NA,NA,NA,NA,1719.079998
2002,abund,1,NA,NA,NA,NA,1602.803898
2003,abund,1,NA,NA,NA,NA,1325.969967
2004,abund,1,NA,NA,NA,NA,1449.22881
2005,abund,1,NA,NA,NA,NA,853.9003747
2006,abund,1,NA,NA,NA,NA,1402.376696
2007,abund,1,NA,NA,NA,NA,1391.297808
2008,abund,1,NA,NA,NA,NA,753.3395461
2009,abund,1,NA,NA,NA,NA,552.8875843
2010,abund,1,NA,NA,NA,NA,776.5377895
2001,abund,2,NA,NA,NA,NA,1200.55
2002,abund,2,NA,NA,NA,NA,1100
2003,abund,2,NA,NA,NA,NA,900
2004,abund,2,NA,NA,NA,NA,1000
2005,abund,2,NA,NA,NA,NA,600
2006,abund,2,NA,NA,NA,NA,700
2007,abund,2,NA,NA,NA,NA,800
2008,abund,2,NA,NA,NA,NA,700
2009,abund,2,NA,NA,NA,NA,600
2010,abund,2,NA,NA,NA,NA,700
2001,abund,3,NA,NA,NA,NA,1.42918919
2002,abund,3,NA,NA,NA,NA,1.45181395
2003,abund,3,NA,NA,NA,NA,1.30568373
2004,abund,3,NA,NA,NA,NA,1.11257
2005,abund,3,NA,NA,NA,NA,1.06637309
2006,abund,3,NA,NA,NA,NA,1.49743159
2007,abund,3,NA,NA,NA,NA,1.12964704
2008,abund,3,NA,NA,NA,NA,0.767521264
2009,abund,3,NA,NA,NA,NA,0.62466659
2010,abund,3,NA,NA,NA,NA,0.860990714
2001,abund,4,NA,NA,NA,NA,1.52918919
2002,abund,4,NA,NA,NA,NA,1.35181395
2003,abund,4,NA,NA,NA,NA,1.70568373
2004,abund,4,NA,NA,NA,NA,1.112571
