year,label,fishery,age_1,age_2,age_3,age_4,value
1995,caa,NA,1,1,1,1,NA
1996,caa,NA,1,1,1,1,NA
1997,caa,NA,1,1,1,1,NA
1998,caa,NA,1,1,1,1,NA
1999,caa,NA,1,1,1,1,NA
2000,caa,NA,1,1,1,1,NA
2001,caa,NA,1,1,1,1,NA
2002,caa,NA,1,1,1,1,NA
2003,caa,NA,1,1,1,1,NA
2004,caa,NA,1,1,1,1,NA
2005,caa,NA,1,1,1,1,NA
2006,caa,NA,1,1,1,1,NA
2007,caa,NA,1,1,1,1,NA
2008,caa,NA,1,1,1,1,NA
2009,caa,NA,1,1,1,1,NA
2010,caa,NA,1,1,1,1,NA
2011,caa,NA,1,1,1,1,NA
2012,caa,NA,1,1,1,1,NA
2013,caa,NA,1,1,1,1,NA
2014,caa,NA,1,1,1,1,NA
2015,caa,NA,1,1,1,1,NA
2016,caa,NA,1,1,1,1,NA
2017,caa,NA,1,1,1,1,NA
1995,maa,NA,1,1,1,1,NA
1996,maa,NA,1,1,1,1,NA
1997,maa,NA,1,1,1,1,NA
1998,maa,NA,1,1,1,1,NA
1999,maa,NA,1,1,1,1,NA
2000,maa,NA,1,1,1,1,NA
2001,maa,NA,1,1,1,1,NA
2002,maa,NA,1,1,1,1,NA
2003,maa,NA,1,1,1,1,NA
2004,maa,NA,1,1,1,1,NA
2005,maa,NA,1,1,1,1,NA
2006,maa,NA,1,1,1,1,NA
2007,maa,NA,1,1,1,1,NA
2008,maa,NA,1,1,1,1,NA
2009,maa,NA,1,1,1,1,NA
2010,maa,NA,1,1,1,1,NA
2011,maa,NA,1,1,1,1,NA
2012,maa,NA,1,1,1,1,NA
2013,maa,NA,1,1,1,1,NA
2014,maa,NA,1,1,1,1,NA
2015,maa,NA,1,1,1,1,NA
2016,maa,NA,1,1,1,1,NA
2017,maa,NA,1,1,1,1,NA
1995,waa,NA,1,1,1,1,NA
1996,waa,NA,1,1,1,1,NA
1997,waa,NA,1,1,1,1,NA
1998,waa,NA,1,1,1,1,NA
1999,waa,NA,1,1,1,1,NA
2000,waa,NA,1,1,1,1,NA
2001,waa,NA,1,1,1,1,NA
2002,waa,NA,1,1,1,1,NA
2003,waa,NA,1,1,1,1,NA
2004,waa,NA,1,1,1,1,NA
2005,waa,NA,1,1,1,1,NA
2006,waa,NA,1,1,1,1,NA
2007,waa,NA,1,1,1,1,NA
2008,waa,NA,1,1,1,1,NA
2009,waa,NA,1,1,1,1,NA
2010,waa,NA,1,1,1,1,NA
2011,waa,NA,1,1,1,1,NA
2012,waa,NA,1,1,1,1,NA
2013,waa,NA,1,1,1,1,NA
2014,waa,NA,1,1,1,1,NA
2015,waa,NA,1,1,1,1,NA
2016,waa,NA,1,1,1,1,NA
2017,waa,NA,1,1,1,1,NA
1995,waa.catch,NA,1,1,1,1,NA
1996,waa.catch,NA,1,1,1,1,NA
1997,waa.catch,NA,1,1,1,1,NA
1998,waa.catch,NA,1,1,1,1,NA
1999,waa.catch,NA,1,1,1,1,NA
2000,waa.catch,NA,1,1,1,1,NA
2001,waa.catch,NA,1,1,1,1,NA
2002,waa.catch,NA,1,1,1,1,NA
2003,waa.catch,NA,1,1,1,1,NA
2004,waa.catch,NA,1,1,1,1,NA
2005,waa.catch,NA,1,1,1,1,NA
2006,waa.catch,NA,1,1,1,1,NA
2007,waa.catch,NA,1,1,1,1,NA
2008,waa.catch,NA,1,1,1,1,NA
2009,waa.catch,NA,1,1,1,1,NA
2010,waa.catch,NA,1,1,1,1,NA
2011,waa.catch,NA,1,1,1,1,NA
2012,waa.catch,NA,1,1,1,1,NA
2013,waa.catch,NA,1,1,1,1,NA
2014,waa.catch,NA,1,1,1,1,NA
2015,waa.catch,NA,1,1,1,1,NA
2016,waa.catch,NA,1,1,1,1,NA
2017,waa.catch,NA,1,1,1,1,NA
1995,maa.tune,NA,1,1,1,1,NA
1996,maa.tune,NA,1,1,1,1,NA
1997,maa.tune,NA,1,1,1,1,NA
1998,maa.tune,NA,1,1,1,1,NA
1999,maa.tune,NA,1,1,1,1,NA
2000,maa.tune,NA,1,1,1,1,NA
2001,maa.tune,NA,1,1,1,1,NA
2002,maa.tune,NA,1,1,1,1,NA
2003,maa.tune,NA,1,1,1,1,NA
2004,maa.tune,NA,1,1,1,1,NA
2005,maa.tune,NA,1,1,1,1,NA
2006,maa.tune,NA,1,1,1,1,NA
2007,maa.tune,NA,1,1,1,1,NA
2008,maa.tune,NA,1,1,1,1,NA
2009,maa.tune,NA,1,1,1,1,NA
2010,maa.tune,NA,1,1,1,1,NA
2011,maa.tune,NA,1,1,1,1,NA
2012,maa.tune,NA,1,1,1,1,NA
2013,maa.tune,NA,1,1,1,1,NA
2014,maa.tune,NA,1,1,1,1,NA
2015,maa.tune,NA,1,1,1,1,NA
2016,maa.tune,NA,1,1,1,1,NA
2017,maa.tune,NA,1,1,1,1,NA
1995,abund,1,NA,NA,NA,NA,NA
1996,abund,1,NA,NA,NA,NA,NA
1997,abund,1,NA,NA,NA,NA,NA
1998,abund,1,NA,NA,NA,NA,NA
1999,abund,1,NA,NA,NA,NA,NA
2000,abund,1,NA,NA,NA,NA,NA
2001,abund,1,NA,NA,NA,NA,NA
2002,abund,1,NA,NA,NA,NA,NA
2003,abund,1,NA,NA,NA,NA,NA
2004,abund,1,NA,NA,NA,NA,NA
2005,abund,1,NA,NA,NA,NA,NA
2006,abund,1,NA,NA,NA,NA,1
2007,abund,1,NA,NA,NA,NA,2
2008,abund,1,NA,NA,NA,NA,1
2009,abund,1,NA,NA,NA,NA,2
2010,abund,1,NA,NA,NA,NA,1
2011,abund,1,NA,NA,NA,NA,2
2012,abund,1,NA,NA,NA,NA,1
2013,abund,1,NA,NA,NA,NA,2
2014,abund,1,NA,NA,NA,NA,1
2015,abund,1,NA,NA,NA,NA,2
2016,abund,1,NA,NA,NA,NA,1
2017,abund,1,NA,NA,NA,NA,2
1995,abund,2,NA,NA,NA,NA,NA
1996,abund,2,NA,NA,NA,NA,NA
1997,abund,2,NA,NA,NA,NA,NA
1998,abund,2,NA,NA,NA,NA,NA
1999,abund,2,NA,NA,NA,NA,NA
2000,abund,2,NA,NA,NA,NA,NA
2001,abund,2,NA,NA,NA,NA,NA
2002,abund,2,NA,NA,NA,NA,NA
2003,abund,2,NA,NA,NA,NA,NA
2004,abund,2,NA,NA,NA,NA,NA
2005,abund,2,NA,NA,NA,NA,NA
2006,abund,2,NA,NA,NA,NA,2
2007,abund,2,NA,NA,NA,NA,1
2008,abund,2,NA,NA,NA,NA,2
2009,abund,2,NA,NA,NA,NA,1
2010,abund,2,NA,NA,NA,NA,2
2011,abund,2,NA,NA,NA,NA,1
2012,abund,2,NA,NA,NA,NA,2
2013,abund,2,NA,NA,NA,NA,1
2014,abund,2,NA,NA,NA,NA,2
2015,abund,2,NA,NA,NA,NA,1
2016,abund,2,NA,NA,NA,NA,2
2017,abund,2,NA,NA,NA,NA,1
