"","x"
"1",0.126847313662632
"2",0.0931688667650291
"3",0.19518852965957
"4",-0.202232254822121
"5",0.493874490286379
"6",0.154986338534135
"7",-0.406444351980998
"8",-0.146297170843691
"9",-0.00134141556447463
"10",0.205602137945028
"11",-0.241052978762356
"12",0.76418335047075
"13",0.0946254224172847
"14",0.247908520006136
"15",0.25899484471643
"16",0.0145712513347799
"17",-0.0446795761164758
"18",-0.185718317619581
"19",-0.208365961949476
"20",0.22803176248046
"21",-0.26500018758071
"22",-0.116968069021432
"23",0.0913571529461939
"24",-0.127168664170859
"25",-0.385340288007617
"26",-0.315468005855333
"27",0.127963884508231
"28",-0.286815725820992
"29",-0.128334745367805
"30",-0.0514044023455741
