"","x"
"1",0.126847313662632
"2",0.108692577769888
"3",0.208490444512576
"4",-0.176716969441337
"5",0.472247677040984
"6",0.21278051839827
"7",-0.380404042732794
"8",-0.192851427721137
"9",-0.0249427812093144
"10",0.202549613488888
"11",-0.216264738687283
"12",0.737716638587108
"13",0.184907980007436
"14",0.270537757955646
"15",0.292103547211903
"16",0.0503191983703166
"17",-0.0385214583689093
"18",-0.190432615226191
"19",-0.231671310713372
"20",0.199679577701865
"21",-0.240563185579545
"22",-0.146408451032812
"23",0.0734395288603791
"24",-0.118181055451027
"25",-0.399803412989123
"26",-0.364396378579934
"27",0.0833686628282733
"28",-0.276612978981198
"29",-0.162186939962308
"30",-0.0712530149179589
