"","1","2","3"
"2012",20285.5032875924,20285.5032875924,20285.5032875924
"2013",20951.7217762045,19144.937382225,21097.1869781394
"2014",21978.5480738745,17392.2910846664,27055.5993613291
"2015",22974.3963000238,18098.4099235777,26869.2739565568
"2016",24030.7937914371,20091.1947664491,29113.8605559721
"2017",25133.5376319825,22470.6486597882,29908.3582303669
"2018",26287.0411970492,28685.585632167,31621.0358420954
"2019",27493.5247756158,28925.7030719477,26334.197286892
"2020",28755.3597129378,33372.4042584076,24564.6759126993
"2021",30075.1140116361,35889.8210814384,28937.8215505421
"2022",31455.4381818573,40520.9314971746,32986.2879828537
"2023",32899.1138340839,48218.3030130716,37932.4145289264
"2024",34409.0482430056,51289.306423567,32510.3167373677
"2025",35988.2824510233,56734.5200462206,30482.1720970746
"2026",37639.9970339421,56258.5660335497,27071.8263897814
"2027",39367.5185423857,51252.8212370228,27662.8425304601
"2028",41174.3262039108,61688.0116418812,28840.9484301777
"2029",43064.0589276582,64841.0003647392,29096.2275163815
"2030",45040.5226339533,51144.1637583913,28384.3327901347
"2031",47107.6979192204,45860.7487391707,28436.657477719
"2032",49269.748072942,54520.7936677472,32201.0385323624
"2033",51531.0274625144,55950.0833449942,32992.1641792445
"2034",53896.0903029404,59107.1613861867,35769.4937364376
"2035",55381.7559998918,54229.0714166384,34679.71721535
"2036",55872.695415466,54263.3129391307,38125.368530891
"2037",55972.1481745324,54814.1620543868,45259.8052518678
"2038",55988.4900501815,56732.4932828868,44406.3397868703
"2039",55991.1753140418,58747.2198153666,38741.3343309129
"2040",55991.6165511528,68088.5918900496,50812.9049661842
"2041",55991.68905434,62246.4423553834,50653.2860396769
"2042",55991.7009679166,58945.9696708017,48239.7351508515
"2043",55991.7029255314,79199.9393238391,49542.5636979726
"2044",55991.7032472026,78652.0206644766,50860.4762009513
"2045",55991.703300059,59200.7251417927,53455.5247315719
"2046",55991.7033087443,42965.1468563353,66061.0468393671
"2047",55991.7033101714,41839.5725827852,83247.8210788231
"2048",55991.7033104059,46552.2655442623,68993.8792447217
"2049",55991.7033104444,52254.6991945786,49994.8023702891
"2050",55991.7033104508,47520.7542144341,50276.8498234885
"2051",55991.7033104518,43675.7465696842,52889.3732500085
"2052",55991.703310452,44946.5490246158,49919.5191307347
"2053",55991.703310452,43314.8318172463,49096.8576990227
"2054",55991.703310452,50883.7897179809,42589.344755743
"2055",55991.703310452,58907.9176655048,43030.9705083897
"2056",55991.703310452,65716.4297276269,43694.4419313768
"2057",55991.703310452,64473.3395141998,45575.6418136012
"2058",55991.703310452,55053.9959475031,55474.7986903799
"2059",55991.703310452,61065.3972937752,62636.7732995702
"2060",55991.703310452,73911.2846477357,63416.3074739402
"2061",55991.703310452,60022.3960235604,55396.6545826645
