"","1","2","3"
"2012",52900.1194790324,48795.8159900661,53230.559202673
"2013",55154.8295221096,44653.4813845439,66694.5896714656
"2014",57692.6706995822,45881.0609104326,66816.2252671605
"2015",60345.7786127354,50047.4513779307,73528.1111074843
"2016",63113.1322073093,55895.7919409388,74752.763714792
"2017",66010.3904144039,70555.1181117562,79640.7558875579
"2018",69039.8616724913,71919.2770376831,67532.2152204157
"2019",72208.5314557643,83633.2851846212,63871.0220355252
"2020",75522.6041453414,89009.0379313199,71938.0898739124
"2021",78988.7819908815,101189.461991685,81544.6767147698
"2022",82614.0432805176,118985.143519867,94099.1036596168
"2023",86405.6890360149,127670.558219962,82761.7371027826
"2024",90371.3558392713,141869.804716075,79068.3477142557
"2025",94519.0304720666,141307.247774123,69211.152347583
"2026",98857.0663644423,131421.887852128,70627.7418344025
"2027",103394.200314273,154163.057857027,72188.5906218205
"2028",108139.570106417,160682.866556505,73468.0344221182
"2029",113102.732912059,133150.264994865,71912.6626565411
"2030",118293.684537378,120062.71944877,72082.114484249
"2031",123722.879555079,135795.450224346,80389.0215106702
"2032",129401.252359872,139317.725187399,82476.0001025645
"2033",135340.239190352,149029.311599091,89859.7187167845
"2034",139307.581365171,137559.432328345,87339.3177284237
"2035",140997.009279599,138597.817827475,96016.070651359
"2036",141487.948695173,137937.705157243,111699.227915045
"2037",141587.401454239,143123.64994091,111384.396104365
"2038",141603.743329889,147569.087793512,100010.591207676
"2039",141606.428593749,169565.472369277,126364.483006219
"2040",141606.86983086,157022.086449424,125259.377504881
"2041",141606.942334047,151872.763129407,123751.034109034
"2042",141606.954247624,195008.00497218,124963.693627775
"2043",141606.956205238,194877.320159376,128074.441546032
"2044",141606.95652691,156376.495028815,134306.884309099
"2045",141606.956579766,116232.179203072,163360.139261483
"2046",141606.956588451,108358.253184745,203617.177504199
"2047",141606.956589879,115989.425994802,175444.615102745
"2048",141606.956590113,129930.207566073,135289.145687127
"2049",141606.956590152,120449.951889624,129570.345979512
"2050",141606.956590158,112791.971310405,132232.165534425
"2051",141606.956590159,113636.017787821,126809.232932583
"2052",141606.956590159,109635.113470706,125052.133441106
"2053",141606.956590159,127201.710765177,109316.176567653
"2054",141606.956590159,145136.959381298,110134.195055047
"2055",141606.956590159,163429.558595115,109706.26730299
"2056",141606.956590159,162262.002304204,114916.157499679
"2057",141606.956590159,142327.634791111,137270.86680441
"2058",141606.956590159,154606.229152646,154668.651377573
"2059",141606.956590159,181738.172860021,159358.315015313
"2060",141606.956590159,153400.309434305,142261.214941117
"2061",141606.956590159,120195.162772146,128142.995033545
